"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","max","min","NUM_COLLISIONS"
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,38.5,32.4,45,32,0.600505689001264
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,41.9,28.8,45,39.9,0.629582806573957
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,38.2,22.5,44.1,33.1,0.720606826801517
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,38.2,26.7,46,33.1,0.797724399494311
"46",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,43,30.7,55,37,0.763590391908976
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,37.9,28,46.9,33.8,0.56763590391909
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,29,6.6,35.1,24.1,0.565107458912769
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,23.4,2,35.1,17.1,0.503160556257901
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.2,22.4,48.9,32,0.603034134007585
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,33.8,16.8,45,28.9,0.644753476611884
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,28,9.8,34,24.1,0.629582806573957
"53",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,30,17.2,37.9,25,0.671302149178255
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,38,34.3,42.1,36,0.65865992414665
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,39.3,32.4,46.9,36,0.538558786346397
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,37.5,22.7,45,32,0.619469026548673
"57",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.9,28.7,44.1,35.1,0.678887484197219
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,40.2,36.8,46.9,35.6,0.695322376738306
"59",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,45.2,32.9,51.1,43,0.653603034134008
"60",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,40,27.4,45,36,0.762326169405815
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,36.7,22.8,39.9,34,0.599241466498104
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,32.6,18.7,39.9,28.9,0.634639696586599
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,32.8,16.4,42.1,27,0.754740834386852
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,37.9,20.6,48.9,30.9,0.666245259165613
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,40.1,29.3,44.1,37.9,0.600505689001264
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,36.7,28.2,41,34,0.676359039190898
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,43.7,22.1,55,35.1,0.719342604298357
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,41.8,28.6,51.1,36,0.524652338811631
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,44.7,38.2,53.1,37.9,0.65992414664981
